,X,Y,log
0,0,0,[0. 0. 0.]
1,0,1,[0. 0. 0.]
2,0,2,[0. 0. 0.]
3,0,3,[0. 0. 0.]
4,0,4,[0. 0. 0.]
5,0,5,[0. 0. 0.]
6,0,6,[0. 0. 0.]
7,0,7,[0. 0. 0.]
8,0,8,[0. 0. 0.]
9,0,9,"[0.73455644 0.0878656  0.08083636 0.07380711 0.09489485 0.1159826
 0.11636898 0.10862278 0.10891758 0.10208976 0.09429756 0.13335449
 0.18989938 0.48853275 0.48853275 0.09489485 0.0878656  0.09489485
 0.08083636 0.07380711 0.08083636 0.18276046 0.25656756 0.58694223]"
10,0,10,"[0.78671522 0.51192952 0.23714382 0.16186007 0.11668982 0.07904794
 0.07528375 0.07151957 0.07151957 0.07151957 0.07151957 0.07904794
 0.08657632 0.10163307 0.1040236  0.10665645 0.11753244 0.12881638
 0.13180327 0.13755998 0.14315584 0.14913041 0.1569988  0.15087212
 0.15002594 0.14731332 0.13711077 0.12506441 0.11167336 0.10783616
 0.1030136  0.08831051 0.07604646 0.07283824 0.06963795 0.08624532
 0.10163307 0.10539725 0.10916144 0.11292563 0.11668982 0.11668982
 0.11668982 0.11668982 0.11668982 0.11668982 0.11668982 0.12421819
 0.12681608 0.12494035 0.12298837 0.12557728 0.11952777 0.11625742
 0.1123028  0.11677939 0.10750541 0.11109501 0.11421026 0.109434
 0.11717025 0.12437616 0.1375322  0.15216777 0.16010685 0.16696447
 0.22577915 0.238032   0.24137185 0.25096728 0.24278911 0.23501629
 0.22961545 0.22961545 0.22208707 0.2145587  0.19950195 0.1844452
 0.10916144 0.10163307 0.09786888 0.09410469 0.07904794 0.07904794
 0.07904794 0.07904794 0.07904794 0.10916144 0.15433169 0.19197357
 0.21079451 0.22961545 0.2446722  0.25972895 0.2747857  0.28984245
 0.33877689 0.38771133 0.41029645 0.48558021 0.50816533 0.50816533
 0.52322208 0.52322208 0.52322208 0.49310858 0.45546671 0.10163307
 0.09410469 0.08657632 0.07904794 0.07151957 0.06894273 0.0663581
 0.06765049 0.06888757 0.06995431 0.07906235 0.08789989 0.09795837
 0.10787725 0.11131487 0.11444708 0.11709674 0.12385152 0.1298885
 0.13016525 0.13134209 0.13109982 0.11032436 0.10799972 0.10039029
 0.09263978 0.08928609 0.09141808 0.09321538 0.10665645 0.11172906
 0.11668982 0.2747857  0.51569371 0.62861934 0.66249703 0.69637472]"
